9.100000262260437012e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.118403196334838867e-01,6.623539607971906662e-03,6.407582201063632965e-03,-1.334513508481904864e-04
9.136800765991210938e-01,1.324177440255880356e-02,1.281019672751426697e-02,-2.663758932612836361e-04
9.155185818672180176e-01,1.984940096735954285e-02,1.920287683606147766e-02,-3.982469206675887108e-04
9.173552989959716797e-01,2.644111029803752899e-02,2.558065205812454224e-02,-5.285375518724322319e-04
9.191895723342895508e-01,3.301160410046577454e-02,3.193855658173561096e-02,-6.567210657522082329e-04
9.210208058357238770e-01,3.955557197332382202e-02,3.827162459492683411e-02,-7.822706829756498337e-04
9.228483438491821289e-01,4.606771096587181091e-02,4.457488656044006348e-02,-9.046596242114901543e-04
9.246717095375061035e-01,5.254271253943443298e-02,5.084337666630744934e-02,-1.023361110128462315e-03
9.264901876449584961e-01,5.897527933120727539e-02,5.707212164998054504e-02,-1.137848361395299435e-03
9.283032417297363281e-01,6.536010652780532837e-02,6.325615942478179932e-02,-1.247594482265412807e-03
9.301101565361022949e-01,7.169187813997268677e-02,6.939052045345306396e-02,-1.352072809822857380e-03
9.319104552268981934e-01,7.796530425548553467e-02,7.547023892402648926e-02,-1.450756564736366272e-03
9.337034821510314941e-01,8.417506515979766846e-02,8.149034529924392700e-02,-1.543118967674672604e-03
9.354885816574096680e-01,9.031586349010467529e-02,8.744587004184722900e-02,-1.628633239306509495e-03
9.372651576995849609e-01,9.638240188360214233e-02,9.333185106515884399e-02,-1.706772483885288239e-03
9.390326738357543945e-01,1.023693606257438660e-01,9.914331883192062378e-02,-1.777010038495063782e-03
9.407904744148254395e-01,1.082714498043060303e-01,1.048753038048744202e-01,-1.838819007389247417e-03
9.425379633903503418e-01,1.140833497047424316e-01,1.105228364467620850e-01,-1.891672844067215919e-03
9.442745447158813477e-01,1.197997704148292542e-01,1.160809472203254700e-01,-1.935044536367058754e-03
9.459995627403259277e-01,1.254153996706008911e-01,1.215446814894676208e-01,-1.968407304957509041e-03
9.477124214172363281e-01,1.309249252080917358e-01,1.269090622663497925e-01,-1.991234486922621727e-03
9.494125843048095703e-01,1.363230496644973755e-01,1.321691125631332397e-01,-2.002999419346451759e-03
